timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1758588989307,2025-09-23 09:56:29.307,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758588989803,2025-09-23 09:56:29.803,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758588989930,2025-09-23 09:56:29.930,AC:23:3F:26:3E:F2,-95,127,1.5,19.0,1.5
1758588990275,2025-09-23 09:56:30.275,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758588990507,2025-09-23 09:56:30.507,AC:23:3F:26:3E:F2,-87,127,1.5,19.0,1.5
1758588990631,2025-09-23 09:56:30.631,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758588990996,2025-09-23 09:56:30.996,AC:23:3F:26:3E:F2,-78,127,1.5,19.0,1.5
1758588991204,2025-09-23 09:56:31.204,AC:23:3F:26:3E:F2,-85,127,1.5,19.0,1.5
1758588991706,2025-09-23 09:56:31.706,AC:23:3F:26:3E:F2,-84,127,1.5,19.0,1.5
1758588991907,2025-09-23 09:56:31.907,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758588992054,2025-09-23 09:56:32.054,AC:23:3F:26:3E:F2,-86,127,1.5,19.0,1.5
1758588992433,2025-09-23 09:56:32.433,AC:23:3F:26:3E:F2,-94,127,1.5,19.0,1.5
1758588992763,2025-09-23 09:56:32.763,AC:23:3F:26:3E:F2,-78,127,1.5,19.0,1.5
1758588993119,2025-09-23 09:56:33.119,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758588993308,2025-09-23 09:56:33.308,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758588993829,2025-09-23 09:56:33.829,AC:23:3F:26:3E:F2,-82,127,1.5,19.0,1.5
1758588994006,2025-09-23 09:56:34.006,AC:23:3F:26:3E:F2,-77,127,1.5,19.0,1.5
1758588994184,2025-09-23 09:56:34.184,AC:23:3F:26:3E:F2,-80,127,1.5,19.0,1.5
1758588994537,2025-09-23 09:56:34.537,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758588994713,2025-09-23 09:56:34.713,AC:23:3F:26:3E:F2,-76,127,1.5,19.0,1.5
1758588994886,2025-09-23 09:56:34.886,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758588995408,2025-09-23 09:56:35.408,AC:23:3F:26:3E:F2,-80,127,1.5,19.0,1.5
1758588995592,2025-09-23 09:56:35.592,AC:23:3F:26:3E:F2,-89,127,1.5,19.0,1.5
1758588995966,2025-09-23 09:56:35.966,AC:23:3F:26:3E:F2,-88,127,1.5,19.0,1.5
1758588996107,2025-09-23 09:56:36.107,AC:23:3F:26:3E:F2,-78,127,1.5,19.0,1.5
1758588996431,2025-09-23 09:56:36.431,AC:23:3F:26:3E:F2,-88,127,1.5,19.0,1.5
1758588996666,2025-09-23 09:56:36.666,AC:23:3F:26:3E:F2,-70,127,1.5,19.0,1.5
1758588996814,2025-09-23 09:56:36.814,AC:23:3F:26:3E:F2,-84,127,1.5,19.0,1.5
1758588997012,2025-09-23 09:56:37.012,AC:23:3F:26:3E:F2,-76,127,1.5,19.0,1.5
1758588997386,2025-09-23 09:56:37.386,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758588997511,2025-09-23 09:56:37.511,AC:23:3F:26:3E:F2,-76,127,1.5,19.0,1.5
1758588997725,2025-09-23 09:56:37.725,AC:23:3F:26:3E:F2,-84,127,1.5,19.0,1.5
1758588998213,2025-09-23 09:56:38.213,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758588999142,2025-09-23 09:56:39.142,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758588999618,2025-09-23 09:56:39.618,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758588999857,2025-09-23 09:56:39.857,AC:23:3F:26:3E:F2,-89,127,1.5,19.0,1.5
1758589000221,2025-09-23 09:56:40.221,AC:23:3F:26:3E:F2,-90,127,1.5,19.0,1.5
1758589000311,2025-09-23 09:56:40.311,AC:23:3F:26:3E:F2,-75,127,1.5,19.0,1.5
1758589000558,2025-09-23 09:56:40.558,AC:23:3F:26:3E:F2,-78,127,1.5,19.0,1.5
1758589000927,2025-09-23 09:56:40.927,AC:23:3F:26:3E:F2,-77,127,1.5,19.0,1.5
1758589001021,2025-09-23 09:56:41.021,AC:23:3F:26:3E:F2,-86,127,1.5,19.0,1.5
1758589001641,2025-09-23 09:56:41.641,AC:23:3F:26:3E:F2,-87,127,1.5,19.0,1.5
1758589001730,2025-09-23 09:56:41.730,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758589002356,2025-09-23 09:56:42.356,AC:23:3F:26:3E:F2,-76,127,1.5,19.0,1.5
1758589002688,2025-09-23 09:56:42.688,AC:23:3F:26:3E:F2,-76,127,1.5,19.0,1.5
1758589003067,2025-09-23 09:56:43.067,AC:23:3F:26:3E:F2,-86,127,1.5,19.0,1.5
1758589003121,2025-09-23 09:56:43.121,AC:23:3F:26:3E:F2,-86,127,1.5,19.0,1.5
1758589003398,2025-09-23 09:56:43.398,AC:23:3F:26:3E:F2,-83,127,1.5,19.0,1.5
1758589003776,2025-09-23 09:56:43.776,AC:23:3F:26:3E:F2,-79,127,1.5,19.0,1.5
1758589004107,2025-09-23 09:56:44.107,AC:23:3F:26:3E:F2,-78,127,1.5,19.0,1.5
1758589004473,2025-09-23 09:56:44.473,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758589004527,2025-09-23 09:56:44.527,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758589004809,2025-09-23 09:56:44.809,AC:23:3F:26:3E:F2,-73,127,1.5,19.0,1.5
1758589005189,2025-09-23 09:56:45.189,AC:23:3F:26:3E:F2,-80,127,1.5,19.0,1.5
1758589005227,2025-09-23 09:56:45.227,AC:23:3F:26:3E:F2,-80,127,1.5,19.0,1.5
1758589005525,2025-09-23 09:56:45.525,AC:23:3F:26:3E:F2,-80,127,1.5,19.0,1.5
1758589005930,2025-09-23 09:56:45.930,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589006241,2025-09-23 09:56:46.241,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589006608,2025-09-23 09:56:46.608,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758589006628,2025-09-23 09:56:46.628,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758589006943,2025-09-23 09:56:46.943,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589007316,2025-09-23 09:56:47.316,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589007338,2025-09-23 09:56:47.338,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589007646,2025-09-23 09:56:47.646,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589008032,2025-09-23 09:56:48.032,AC:23:3F:26:3E:F2,-81,127,1.5,19.0,1.5
1758589008354,2025-09-23 09:56:48.354,AC:23:3F:26:3E:F2,-74,127,1.5,19.0,1.5
1758589008422,2025-09-23 09:56:48.422,AC:23:3F:26:3E:F2,-86,127,1.5,19.0,1.5
