timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1759718201654,2025-10-06 11:36:41.654,68:9E:19:03:95:84,-77,127,1.0,25.0,1.5
1759718201814,2025-10-06 11:36:41.814,68:9E:19:03:95:F1,-78,127,1.0,25.0,1.5
1759718201854,2025-10-06 11:36:41.854,AC:23:3F:26:3E:EF,-82,127,1.0,25.0,1.5
1759718201900,2025-10-06 11:36:41.900,AC:23:3F:26:3E:F2,-71,127,1.0,25.0,1.5
1759718201946,2025-10-06 11:36:41.946,68:9E:19:03:95:84,-83,127,1.0,25.0,1.5
1759718201951,2025-10-06 11:36:41.951,68:9E:19:03:95:84,-79,127,1.0,25.0,1.5
1759718201955,2025-10-06 11:36:41.955,68:9E:19:03:95:F1,-84,127,1.0,25.0,1.5
1759718201958,2025-10-06 11:36:41.958,AC:23:3F:26:3E:F1,-67,127,1.0,25.0,1.5
1759718201996,2025-10-06 11:36:41.996,AC:23:3F:26:3E:F1,-68,127,1.0,25.0,1.5
1759718202000,2025-10-06 11:36:42.000,AC:23:3F:26:3E:F1,-60,127,1.0,25.0,1.5
1759718202012,2025-10-06 11:36:42.012,68:9E:19:03:95:84,-74,127,1.0,25.0,1.5
1759718202016,2025-10-06 11:36:42.016,68:9E:19:03:95:F1,-76,127,1.0,25.0,1.5
1759718202067,2025-10-06 11:36:42.067,AC:23:3F:26:3E:F2,-71,127,1.0,25.0,1.5
1759718202074,2025-10-06 11:36:42.074,68:9E:19:03:95:84,-85,127,1.0,25.0,1.5
1759718202108,2025-10-06 11:36:42.108,68:9E:19:03:95:F1,-79,127,1.0,25.0,1.5
1759718202112,2025-10-06 11:36:42.112,AC:23:3F:26:3E:F1,-72,127,1.0,25.0,1.5
1759718202132,2025-10-06 11:36:42.132,AC:23:3F:26:3E:F2,-89,127,1.0,25.0,1.5
1759718202213,2025-10-06 11:36:42.213,68:9E:19:03:95:F1,-83,127,1.0,25.0,1.5
1759718202285,2025-10-06 11:36:42.285,68:9E:19:03:95:84,-80,127,1.0,25.0,1.5
1759718202290,2025-10-06 11:36:42.290,AC:23:3F:26:3E:F2,-87,127,1.0,25.0,1.5
1759718202312,2025-10-06 11:36:42.312,AC:23:3F:26:3E:EF,-81,127,1.0,25.0,1.5
1759718202319,2025-10-06 11:36:42.319,68:9E:19:03:95:F1,-76,127,1.0,25.0,1.5
1759718202400,2025-10-06 11:36:42.400,68:9E:19:03:95:84,-80,127,1.0,25.0,1.5
1759718202429,2025-10-06 11:36:42.429,68:9E:19:03:95:F1,-82,127,1.0,25.0,1.5
1759718202432,2025-10-06 11:36:42.432,AC:23:3F:26:3E:F2,-80,127,1.0,25.0,1.5
1759718202504,2025-10-06 11:36:42.504,68:9E:19:03:95:84,-84,127,1.0,25.0,1.5
1759718202529,2025-10-06 11:36:42.529,68:9E:19:03:95:F1,-74,127,1.0,25.0,1.5
1759718202630,2025-10-06 11:36:42.630,AC:23:3F:26:3E:F1,-60,127,1.0,25.0,1.5
1759718202638,2025-10-06 11:36:42.638,68:9E:19:03:95:F1,-78,127,1.0,25.0,1.5
1759718202651,2025-10-06 11:36:42.651,AC:23:3F:26:3E:F1,-61,127,1.0,25.0,1.5
1759718202712,2025-10-06 11:36:42.712,68:9E:19:03:95:84,-78,127,1.0,25.0,1.5
1759718202771,2025-10-06 11:36:42.771,AC:23:3F:26:3E:F2,-77,127,1.0,25.0,1.5
1759718202815,2025-10-06 11:36:42.815,68:9E:19:03:95:84,-82,127,1.0,25.0,1.5
1759718202844,2025-10-06 11:36:42.844,68:9E:19:03:95:F1,-76,127,1.0,25.0,1.5
1759718202914,2025-10-06 11:36:42.914,68:9E:19:03:95:84,-80,127,1.0,25.0,1.5
1759718202955,2025-10-06 11:36:42.955,68:9E:19:03:95:F1,-77,127,1.0,25.0,1.5
1759718202997,2025-10-06 11:36:42.997,AC:23:3F:26:3E:F2,-71,127,1.0,25.0,1.5
