image_name,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,total_images_processed,successful_images,ransac_population,is_ransac_excluded
,-1,1.5029357408022017,8.41046235482653,1.4980796908090048,0.2,WEIGHTED_MEDIAN,true,30,6,6,20,null
1761874501646.matphoto,30,1.1512997576162403,8.374158987820415,1.987351480144373,,,false,1,,6,,true
1761874501646.matphoto,2,1.539510632774692,8.313054775848448,2.3450075003270916,,,false,1,,6,,true
1761874501646.matphoto,21,1.5935105776922505,8.397723261515658,0.8114646045824279,,,false,1,,6,,true
1761874506677.matphoto,34,1.620087960113234,8.340654988635864,1.4835587949687241,,,false,1,,6,,false
1761874506677.matphoto,14,1.6456346606736172,8.344497956161273,1.4941743548711626,,,false,1,,6,,false
1761874506677.matphoto,28,1.5976492238305207,8.325144325517318,1.4936968121541943,,,false,1,,6,,false
1761874506677.matphoto,30,0.35237812135028296,8.305247648996218,2.1102534209515165,,,false,1,,6,,true
1761874506677.matphoto,2,-0.4439791316148367,8.250966079915777,1.0433189534222174,,,false,1,,6,,true
1761874506677.matphoto,21,1.4632517614761371,8.267512039899259,0.17506307718147363,,,false,1,,6,,true
1761874511705.matphoto,34,1.615411212477547,8.32237360242776,1.4822001525612227,,,false,1,,6,,false
1761874511705.matphoto,14,1.6304230157669883,8.317767846637722,1.485852542330025,,,false,1,,6,,false
1761874511705.matphoto,28,1.5829230071654374,8.29631221608665,1.4978257039477012,,,false,1,,6,,false
1761874511705.matphoto,30,1.7247866447970277,8.271884935574787,1.437179537673015,,,false,1,,6,,true
1761874511705.matphoto,2,1.774299675529646,8.303892252463234,1.291649573772022,,,false,1,,6,,true
1761874511705.matphoto,21,-0.06179551695892105,8.169862936369906,2.6149065645644085,,,false,1,,6,,true
1761874692962.matphoto,35,1.4617623525837244,8.418146161061905,1.5163440567099062,,,false,1,,6,,false
1761874692962.matphoto,39,1.4869082218549772,8.406498612042117,1.496106901262861,,,false,1,,6,,false
1761874692962.matphoto,16,1.5029357408022017,8.397256501211539,1.506869022398198,,,false,1,,6,,false
1761874692962.matphoto,12,1.4829247017907639,8.431730649216115,1.506468298625287,,,false,1,,6,,false
1761874692962.matphoto,17,1.5038051990411287,8.426227229849573,1.4980796908090048,,,false,1,,6,,false
1761874692962.matphoto,26,1.459091505657654,8.452194125846155,1.4588194598890813,,,false,1,,6,,false
1761874692962.matphoto,31,1.4456052734505107,8.591869331351129,1.4312134873812352,,,false,1,,6,,false
1761874697964.matphoto,39,1.4793451463064922,8.40244922263346,1.4497865449490706,,,false,1,,6,,false
1761874697964.matphoto,16,1.497092637845293,8.42735652939697,1.502367859105914,,,false,1,,6,,false
1761874697964.matphoto,17,1.5031432297390883,8.44692187108174,1.499451825550378,,,false,1,,6,,false
1761874697964.matphoto,31,1.4476394628194191,8.488153908619914,1.5373737559052203,,,false,1,,6,,false
1761874702989.matphoto,35,1.4788710838977215,8.41046235482653,1.5092368921543846,,,false,1,,6,,false
1761874702989.matphoto,12,1.5041462134903998,8.417431618077517,1.5010756051713026,,,false,1,,6,,false
1761874702989.matphoto,26,1.4691555567903385,8.432513599746692,1.4710688733352124,,,false,1,,6,,false
1761874702989.matphoto,31,1.4254745030374856,20.749486578721616,1.6236678754749707,,,false,1,,6,,true
