rssi_timestamp,entry_type,image_filename,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,images_processed,successful_images,ransac_population,is_ransac_excluded,image_timestamp
1762307583650,GLOBAL,,-1,0.5271721209607689,27.182724611752132,1.444621884908064,0.2,WEIGHTED_MEDIAN,true,3,1,1,3,false,
1762307583650,IMAGE,image_0001_1762307583472.matphoto,37,0.5271721209607689,27.216479278417403,1.508337994902259,,,false,1,1,1,,false,1.762307583472E12
1762307583650,IMAGE,image_0001_1762307583472.matphoto,4,0.46569671235714116,27.176268533711614,1.444621884908064,,,false,1,1,1,,false,1.762307583472E12
1762307583650,IMAGE,image_0001_1762307583472.matphoto,22,0.5418337405436426,27.182724611752132,1.4178290822731159,,,false,1,1,1,,false,1.762307583472E12
1762307583819,GLOBAL,,-1,0.5271721209607689,27.182724611752132,1.449859003774682,0.2,WEIGHTED_MEDIAN,true,5,2,2,5,false,
1762307583819,IMAGE,image_0001_1762307583472.matphoto,37,0.5271721209607689,27.216479278417403,1.508337994902259,,,false,1,2,2,,false,1.762307583472E12
1762307583819,IMAGE,image_0001_1762307583472.matphoto,4,0.46569671235714116,27.176268533711614,1.444621884908064,,,false,1,2,2,,false,1.762307583472E12
1762307583819,IMAGE,image_0001_1762307583472.matphoto,22,0.5418337405436426,27.182724611752132,1.4178290822731159,,,false,1,2,2,,false,1.762307583472E12
1762307583819,IMAGE,image_0002_1762307583770.matphoto,37,0.6033435758119923,27.143605024759392,1.609516621855053,,,false,1,2,2,,false,1.76230758377E12
1762307583819,IMAGE,image_0002_1762307583770.matphoto,4,0.43812523413569293,27.20271690870733,1.449859003774682,,,false,1,2,2,,false,1.76230758377E12
1762307584091,GLOBAL,,-1,0.5120389412068802,27.209992296906805,1.449859003774682,0.2,WEIGHTED_MEDIAN,true,8,3,3,8,false,
1762307584091,IMAGE,image_0001_1762307583472.matphoto,37,0.5271721209607689,27.216479278417403,1.508337994902259,,,false,1,3,3,,false,1.762307583472E12
1762307584091,IMAGE,image_0001_1762307583472.matphoto,4,0.46569671235714116,27.176268533711614,1.444621884908064,,,false,1,3,3,,false,1.762307583472E12
1762307584091,IMAGE,image_0001_1762307583472.matphoto,22,0.5418337405436426,27.182724611752132,1.4178290822731159,,,false,1,3,3,,false,1.762307583472E12
1762307584091,IMAGE,image_0002_1762307583770.matphoto,37,0.6033435758119923,27.143605024759392,1.609516621855053,,,false,1,3,3,,false,1.76230758377E12
1762307584091,IMAGE,image_0002_1762307583770.matphoto,4,0.43812523413569293,27.20271690870733,1.449859003774682,,,false,1,3,3,,false,1.76230758377E12
1762307584091,IMAGE,image_0003_1762307584045.matphoto,37,0.4860145692854352,27.26900840386367,1.485040924754475,,,false,1,3,3,,false,1.762307584045E12
1762307584091,IMAGE,image_0003_1762307584045.matphoto,4,0.43601494827092613,27.216229711260446,1.4383671227729136,,,false,1,3,3,,false,1.762307584045E12
1762307584091,IMAGE,image_0003_1762307584045.matphoto,22,0.5120389412068802,27.209992296906805,1.4162360083847583,,,false,1,3,3,,false,1.762307584045E12
1762307584315,GLOBAL,,-1,0.4860145692854352,27.209992296906805,1.4597839895774665,0.2,WEIGHTED_MEDIAN,true,10,4,4,10,false,
1762307584315,IMAGE,image_0001_1762307583472.matphoto,37,0.5271721209607689,27.216479278417403,1.508337994902259,,,false,1,4,4,,false,1.762307583472E12
