point,real_x,real_y,real_z,image_name,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,total_images_processed,successful_images,ransac_population,is_ransac_excluded
p02,0.51,2.8,1.5,1761793091015.matphoto,0,0.4768661073343252,2.8897854407425005,1.5195428929955486,,,False,1,,6,,False
p02,0.51,2.8,1.5,1761793091015.matphoto,25,0.5106345428666152,2.93000865415866,1.5319779714762554,,,False,1,,6,,False
p02,0.51,2.8,1.5,1761793091015.matphoto,39,0.4695586505217988,2.846130002141664,1.4835383394290835,,,False,1,,6,,False
p02,0.51,2.8,1.5,1761793091015.matphoto,16,0.6865421023379381,2.768863795588243,1.4508736253721408,,,False,1,,6,,False
p03,0.19,4.2,1.5,,-1,0.1721949012640622,4.268895194241518,1.5025959647411538,0.2,WEIGHTED_MEDIAN,True,25,6.0,6,19.0,
p03,0.19,4.2,1.5,1761793355352.matphoto,30,0.2198455549453746,4.108169353639203,1.6871365484495542,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793355352.matphoto,2,0.4574959671541503,4.153718135433382,1.5923948254581242,,,False,1,,6,,True
p03,0.19,4.2,1.5,1761793355352.matphoto,21,0.1791304980362066,4.037699449139133,1.7025482821028874,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793360381.matphoto,30,0.293427532785966,4.195860529966429,1.459361206952308,,,False,1,,6,,True
p03,0.19,4.2,1.5,1761793360381.matphoto,2,0.3603087224293659,4.210157089326846,1.5493396023917314,,,False,1,,6,,True
p03,0.19,4.2,1.5,1761793360381.matphoto,21,0.1227827908992117,4.116030815453036,1.5761393825999503,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793365409.matphoto,30,0.1259258740967946,4.05248035279486,1.283662858501472,,,False,1,,6,,True
p03,0.19,4.2,1.5,1761793365409.matphoto,2,0.1548587565342485,4.07996554049491,1.4012834687242637,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793365409.matphoto,21,0.1845183541364058,3.983096255497768,1.580500173549826,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793512754.matphoto,39,0.104809095297879,4.203685289722412,1.5210472584234267,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793512754.matphoto,16,0.0233306732907236,4.148607062180882,1.474671425810104,,,False,1,,6,,False
p03,0.19,4.2,1.5,1761793512754.matphoto,17,0.2935387735832595,4.238786302148733,1.4884680958109813,,,False,1,,6,,True
